addressbook_id,description,image1,showhotel,image2,image3,image4,starcategories_id,cuisine,bars,restaurants,checkout,accessrail,accessair,accessbus,advantage,logo,rooms,ac,roomfacility,otherfacility,services,creditcards,fhra,WebWriteUp1,WebWriteUp2,url,Metatype,Descr,Keywords,organisation,address,city,postalcode,countries_id,phone,fax,pan,email,www,branch_cities_id,note,areacode,bank_addressbook_id,through_addressbook_id,mailto_addressbook_id,cities_id,states_id,currencies_id,web,company,taxno,IncludeInBalanceSheet,InvoiceTo_Addressbook_id,InvoiceOrderNo
4,"  ",agra_atithi.jpg,1,"","","",3,"Indian, Mughlai, Chinese, Continental","",1,"12.00 Noon","4.5 kms. from Railway Station","7.5 kms. from Airport","2.5 kms. from Downtown Area","1.5 kms. from Taj Mahal",,44,"Fully Air-conditioned","Room Service, H/C running water, Telephone, CCT.V., Fridge","Swimming Pool-The Lagoon, Coffee Shop, Banquet & Conference Facilities, Childrens Play Ground, Folk Dances, Cultural Programmes, Garden","Doctor on Call, Laundry, Safe Deposit, Money Changer, Parking, Car Rental on Request","All Major Credit Cards Accepted.",9031,,,atithi-hotel,"  ","Atithi Hotel in Agra - Travel in India | Travellers Palm",,"Atithi Hotel","Tourist Complex Area
Fatehabad Road",Agra,"282 001",200,"330 879-84","330 878","","","",,"",0562,,,,2,31,13,0,0,,1,,
5,"Although The Lytton is undeniably a business hotel, the management has succeeded in bringing to it a definite warmth and ambience. 

Perhaps the atmosphere is due to its colourful history. The building was originally used as a nursing home during the Second World War before it was converted into a hotel by a Briton whose name the hotel still bears. 

Today, there are charming rooms of yellow and white, specialty restaurants, and a chic red and black bar.",kolkata_lytton.jpg,1,kolkata_lytton2.jpg,kolkata_lytton3.jpg,"",3,"Continental, Chinese, Tandoori, Indian, South-Indian",1,2,12:00,"8 kms. from Howrah Railway Station","18 kms. from Dumdum Airport","1/8 kms. from Bus Stand","Besides New Market, Behind Globe Cinema",kolkata_lytton.jpg,81,"Centrally Airconditioned","24 hrs. Room Service, H/C running water, Channel Music, Tea/Coffee maker, Telephone, STD/ISD","Banquet & Conference facilities","Doctor on Call, Laundry, Money Changer, Fax, Safe Deposit Locker, Baby sitting, Travel Desk Service","AMEX, CAN, BOB, Diners, VISA, Master, Andhra, Bank of America, Central, ANZ, Citi",3020,"Located on Sudder Street in the heart of Kolkata, Lytton Hotel is one the best mid-range hotels in the city. 

The rooms are all comfortably furnished with carpets, televisions and telephones. The Gaylord restaurant has retained its popularity over the decades and is an extremely attractive place to eat.

Although the hotel is rather large, with around 80 rooms, past guests have spoken of the cordiality of the staff and a feeling of being at home. The large rooms offer the usual amenities of city hotels but the wood panelled floors and bright rooms lend a homely feel that is surprising but very welcome. 

The stained glass panels in the corridors confirm that this hotel strives to be more than just another city hotel. Their oriental restaurant Dynasty is most inviting with its modern decor and Chinese and Thai dishes. The Sunset Bar is another attractive venue.",,lytton-hotel,"Although The Lytton is undeniably a business hotel, the management has succeeded in bringing to it a definite warmth and ambience. ","Lytton Hotel in Kolkata - Travel in India | Travellers Palm","lytton hotel, heart of kolkata, calcutta, sudder street, special places","Lytton Hotel","14 & 14/1, Sudder Street",Kolkata,"700 016",200,"3984 1900, 2249 1872-73","2249 1747, 2217 4730","","sales@lyttonhotelindia.com
choumen@vsnl.net",www.Lyttonhotel.com,,"",033,,,,69,32,13,1,0,,1,,
6,""," ",1,"","","",0,,,,,,,,,,,,,,,,,,,palace-hotel-1,"","Palace Hotel in Chail - Travel in India | Travellers Palm",,"Palace Hotel",Chail,Chail,"173 217",200,"8337, 8343",8383,"","","",,"",01792,,,,73,13,13,0,0,,1,,
7,"An excellent resort situated in 13 acres of Kumerian Reserve Forest overlooking the Kosi river. The resort offers comfortable accommodation in 20 cottages built of stone and elegantly designed with wood panelled walls, a fireplace, and an open verandah with a private terrace. The resort has its own resident elephant for jungle safaris. Jeep excursions into the park can be booked directly with the hotel.",corbett_qualityinn.jpg,1,corbett_qualityinn2.gif,corbett_qualityinn3.gif,"",0,Multi-cuisine,,,,"29 Kms from Ramnagar Railway Station",,,"Located in 13 Acres of Reserve Forest overlooking Kosi River",corbett_qualityinn.jpg,20,,"All Rooms in Stone Cottages, Wood Panelled Walls, Fire-place, open Verandah. All have Modern Bathrooms with Running Hot & Cold Water","River Warter Swimming Pool, Library on Wildlife Books, Lounge for Drinks & Cocktails, Campfires, Bird Watching, Nature Walks with Naturalists, Mahseer Fishing","Jeep Excursion to Corbett National Park, Elephant Safari through surrounding Jugle.",,,,,quality-inn-corbett-jungle-resort,"An excellent resort situated in 13 acres of Kumerian Reserve Forest overlooking the Kosi river. The resort offers comfortable accommodation in 20 cottages built of stone and elegantly designed with wood panelled walls, a fireplace, and an open verandah with a private terrace. The resort has its own resident elephant for jungle safaris. Jeep excursions into the park can be booked directly with the hotel.","Quality Inn Corbett Jungle Resort in Corbett - Travel in India | Travellers Palm",,"Quality Inn Corbett Jungle Resort","on U.P. State Highway 41
Kumeria Reserve Forest
Post Office: Mohan, Dist. Almora",Corbett,"244 715",200,"52131, 51520, 51230, 53234","54 200",101-T,"ctc_auli@mickyonline.com, mlaique@indiatimes.com","",,"",05947,,200,,89,35,13,1,0,,1,,
8,""," ",1,"","","",0,,,,,,,,,,,,,,,,,,,bellevue-hotel,"","Bellevue Hotel in Darjeeling - Travel in India | Travellers Palm",,"Bellevue Hotel","The Mall",Darjeeling,"734 101",200,"54 075, 54 130","54 330","","","",,"",0354,,,,99,32,13,0,0,,1,,
9,"A perfect place to get an insight into rural Rajasthan. This rustic castle has 11 basic rooms, all very simply furnished. There are pleasant open sitting areas and an enclosed drawing room. The owners are very knowledgeable about the area and can organise village walks and jeep rides.",daspan_castle.jpg,1,daspan_castle2.jpg,daspan_castle3.jpg,daspan_castle4.jpg,0,"Home cooked Indian (Rajasthani) & Continental",,1,,,"225 Kms from Jodhpur Airport, 240 Kms From Udaipur Airport",,"Located in Peaceful Rural Location. Personal Attention of the Aristocratic Family",daspan_castle.jpg,12,,"Simply Furnished Rooms with Attached Facilities","Village Walks to See Ctaftsmen at work, Jeep Excursions, Bullock Cart Rides  possible.","Laundry, Doctor on Call",,,,,castle-durjan-niwas,"A perfect place to get an insight into rural Rajasthan. This rustic castle has 11 basic rooms, all very simply furnished. There are pleasant open sitting areas and an enclosed drawing room. The owners are very knowledgeable about the area and can organise village walks and jeep rides.","Castle Durjan Niwas in Daspan - Travel in India | Travellers Palm",,"Castle Durjan Niwas","Via Bhinmal
Dist. Jalore",Daspan,"343 029",200,"73 523, 73 637","","","","",,"",02969,,198,198,100,27,13,1,0,,1,,
11,"Jukaso Inn is located in the peaceful and upmarket residential area of Sunder Nagar, a short drive away from the down town area. It is a 3 star hotel with a glitzy white marble lobby and 49 air-conditioned rooms and a restaurant. Within easy reach are many historical buildings and monuments including the World Heritage Site of Humayun's Tomb. The Pragati Maidan, the venue for international exhibitions, and the local shopping area are at walking distance.",delhi_jukaso.jpg,1,delhi_jukaso2.jpg,"","",3,"Indian, Continental","",1,"12.00 Noon","8 kms. from Railway Station","22 kms. from Airport","12 kms. from Bus Station","Situated in a peaful residential area close to the downtown area and important monuments",jukasoinn.jpg,49,"Centrally Air-conditioned","24hrs. Room Service, H/C running water, Telephone, T.V.,","Conference room","Doctor on Call, Laundry, Money Changer, Safe Deposit","AMEX, BOB, VISA, Master",8210,,,jukaso-inn,"Jukaso Inn is located in the peaceful and upmarket residential area of Sunder Nagar, a short drive away from the down town area. It is a 3 star hotel with a glitzy white marble lobby and 49 air-conditioned rooms and a restaurant. Within easy reach are many historical buildings and monuments including the World Heritage Site of Humayun's Tomb. The Pragati Maidan, the venue for international exhibitions, and the local shopping area are at walking distance.","Jukaso Inn in Delhi - Travel in India | Travellers Palm",,"Jukaso Inn","50, Sunder Nagar
","New Delhi","110 003",200,"2435 0308, 2435 0309, 2435 0754","2435 4402","",reservationdel@jukaso.co.in,"",,"",011,,,,103,9,13,1,0,,1,,
12,"Award-winning hotel with Tibetan decor. This pleasant and peaceful hotel, run by the Tibetan Welfare Society, has 35 rooms all with en-suite facilities and comfortable furnishings. The Snow Lion restaurant serves authentic Tibetan and other oriental cuisine. The bookshop here sells literature on the Tibetan issue and Tibetan culture.",gangtok_hoteltibet.jpg,1,gangtok_hoteltibet2.jpg,gangtok_hoteltibet3.jpg,gangtok_hoteltibet4.jpg,3,"Indian, Chinese, Continental, Tibetan, Japanese",1,1,"12.00 Noon","114 kms from Railway Station","124 kms from Airport","10 yards local","Bus Terminal Head Post Telegraph Office & State Stadium",gangtok_tibet.jpg,40,"","H/C running water, Attached Bath, Telephone, Colour T.V. with star network, wall to wall carpeted","Banquet & Conference Facilities, Generator","24 Hrs. Room Service, Doctor on Call, Laundry, Currency exchange counter, Travel Desk Service","AMEX, CAN, BOB, Diners, VISA, Master, ANZ, Citi, Central",3047,,,hotel-tibet-1,"Award-winning hotel with Tibetan decor. This pleasant and peaceful hotel, run by the Tibetan Welfare Society, has 35 rooms all with en-suite facilities and comfortable furnishings. The Snow Lion restaurant serves authentic Tibetan and other oriental cuisine. The bookshop here sells literature on the Tibetan issue and Tibetan culture.","Hotel Tibet in Gangtok - Travel in India | Travellers Palm",,"Hotel Tibet","Paljor Stadium Road
",Gangtok,"737 101",200,"203468, 204962","","",htltibet@yahoo.com,www.sikkiminfo.net/hoteltibet,,"",03592,,,,131,28,13,1,0,,1,,
13,"An award winning moderate hotel close to the old city. The hotel has a long verandah which overlooks a green lawn and flowering trees. 

The 93 rooms at Hotel Aya Niwas are spotlessly clean, the restaurant serves delicious vegetarian food at very reasonable prices. There is a small shop which stocks interesting handicrafts and books. Arya Niwas also has an internet centre, a reading lounge, and an excellent laundry service.",jaipur_aryaniwas.jpg,1,jaipur_aryaniwas2.jpg,jaipur_aryaniwas5.jpg,jaipur_aryaniwas3.jpg,3,"Vegetarian, North Indian","",1,"12.00 Noon","2 kms. from Railway Station","15 kms. from Airport","1 km. from Bus Stand","Downtown yet very quiet. Main Shopping Area, Tourist Office, General Post Office all in walking access",jaipur_arya.jpg,91,"Partially Air-conditioned ","EPABX, H/C Running Water, CTV in A.C. Room","Conference Facilities, Shopping Arcade, Reading Room, Lending Library","Doctor, Laundry, Money Changer, Safe Deposit, Travel Desk Service","AMEX, CAN, BOB, VISA, Master, Andhra",1074,"A perennial favourite of travelers, Arya Niwas has a special place in our hearts. Soon after the hotel opened with just a handful of rooms, our guests were the very first to inaugurate Arya Niwas. Over the years, we have seen the hotel grow from a mere 15 rooms to a much larger property, with 93 guest rooms today. The service remains personalized and the exceptional quality of the food is still as high as ever. This makes Arya Niwas a firm favourite, despite growing competition. 

Although the hotel houses 93 guest room, its fa�ade is low, like a colonial bungalow. A long verandah facing the lawn is an irresistible feature. The cafeteria has self service with food made fresh in an open kitchen. There is a small shop which stocks reasonably priced handicrafts and books. Arya Niwas also has an internet centre, a reading lounge, and an excellent laundry service.  

The central part of Arya Niwas is the old haveli. You will find Shekhawati style frescoes and gracious arches here. This room doubles up as a reading lounge and you will find a large collection of books here. 

The rooms are in the wings built around the central courtyard. There are several categories of rooms, of which we recommend the deluxe rooms, as these are the most spacious and well furnished. With the attention to detail and the emphasis on giving guests excellent value for money, Arya Niwas remains a favourite to date.",,hotel-arya-niwas,"An award winning moderate hotel close to the old city. The hotel has a long verandah which overlooks a green lawn and flowering trees. ","Hotel Arya Niwas in Jaipur - Travel in India | Travellers Palm","hotel arya niwas, jaipur, rajasthan, heritage, special places","Hotel Arya Niwas","Sansar Chandra Road
Behind Amber Tower",Jaipur,"302 001",200,"407 3456, 407 3457","236 1871","S-203 DCIT Circ","tarun@aryaniwas.com
reservation@aryaniwas.com",www.aryaniwas.com,,"",0141,,,,176,27,13,0,0,,1,,
14,"This 19th century royal palace, constructed of yellow sandstone with delightful stone carvings, has an imposing entrance and a fully carved Durbar Hall with coloured tiles. 

Mandir Palace has recently been extensively renovated and is now a comfortable heritage hotel with modern rooms, a pleasant swimming pool, and a fabulous location close to the Old City of Jaisalmer. "," ",1,"","","",0,,,,12:00,,,,,,28,,,,,,,,,mandir-palace,"This royal palace was first built in 1825, and additions were later made to it. Constructed of yellow sandstone, it has an imposing entrance, a fully carved Durbar Hall with coloured tiles, and a terrace Badal Mahal which has canopies where one can take the air. From here, the sunset is dramatic, and there are views all over the citadel. The palace has 10 rooms.","Mandir Palace in Jaisalmer - Travel in India | Travellers Palm",,"Mandir Palace Hotel","Mandir Palace

","Jaisalmer ","345 001",200,"252 788, 252 951","252 951","","info@mandirpalace.com
shiv@mandirpalace.com",www.mandirpalace.com,,"",02992,,,,181,27,13,0,0,,1,,
